Title,Year,Plot
Howl's Moving Castle,(2004),"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Inside Out,(2015),"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
My Little Pony: A New Generation,(2021),"After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria."
Toy Story 4,(2019),"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
Spirit Untamed,(2021),Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.
Tangled,(2010),"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
Shrek,(2001),"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
Kung Fu Panda,(2008),"The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts."
Fantastic Mr. Fox,(2009),An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
Toy Story,(1995),A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Despicable Me,(2010),"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
Finding Nemo,(2003),"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Hercules,(1997),The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
America: The Motion Picture,(2021),A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.
Up,(2009),"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Mortal Kombat Legends: Battle of the Realms,(2021),"The Earthrealm heroes must journey to Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat."
WALL·E,(2008),"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Grave of the Fireflies,(1988),A young boy and his little sister struggle to survive in Japan during World War II.
Onward,(2020),Two elven brothers embark on a quest to bring their father back for one day.
Who Framed Roger Rabbit,(1988),A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
Encanto,(2021),A young Colombian girl has to face the frustration of being the only member of her family without magical powers.
A Bug's Life,(1998),"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
How to Train Your Dragon,(2010),"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Frozen II,(2019),"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
Shrek 2,(2004),"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
Paddington,(2014),"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven."
Princess Mononoke,(1997),"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Coraline,(2009),"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
Enchanted,(2007),"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
Incredibles 2,(2018),The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
Brave,(2012),"Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
Trolls World Tour,(2020),"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls."
Monsters University,(2013),"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends."
The Little Mermaid,(1989),A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
Sausage Party,(2016),A sausage strives to discover the truth about his existence.
Disenchanted,(2022),"Ten years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process."
Big Hero 6,(2014),"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
Aladdin,(1992),A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
Mulan,(1998),"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
Beowulf,(2007),"The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge."
Wreck-It Ralph,(2012),"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Isle of Dogs,(2018),"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
Beauty and the Beast,(1991),A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
Cars 3,(2017),Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
Evangelion: 1.0 You Are (Not) Alone,(2007),The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?
Rio,(2011),"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
Trolls,(2016),"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
The Lego Batman Movie,(2017),"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
The Emperor's New Groove,(2000),"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
The Addams Family,(2019),The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.
Akira,(1988),"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
A Silent Voice: The Movie,(2016),"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
Atlantis: The Lost Empire,(2001),A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.
The Prince of Egypt,(1998),Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.
Toy Story 3,(2010),"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
The Addams Family 2,(2021),"The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters. Sequel to the 2019 animated film, 'The Addams Family'."
Hotel Transylvania,(2012),"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
Ron's Gone Wrong,(2021),"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship."
The Princess and the Frog,(2009),"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
Scoob!,(2020),"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined."
The Nightmare Before Christmas,(1993),"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
Lilo & Stitch,(2002),"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace."
The Boss Baby,(2017),"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
Ice Age,(2002),"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
Ralph Breaks the Internet,(2018),"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure."
Minions,(2015),"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
Lightyear,(2022),The story of Buzz Lightyear and his adventures to infinity and beyond.
Despicable Me 2,(2013),"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
The Croods,(2013),"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
Cars 2,(2011),Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
Perfect Blue,(1997),"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
Tarzan,(1999),A man raised by gorillas must decide where he really belongs when he discovers he is a human.
Looney Tunes: Back in Action,(2003),The Looney Tunes search for a man's missing father and the mythical Blue Monkey diamond.
My Neighbor Totoro,(1988),"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Madagascar,(2005),"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild."
Treasure Planet,(2002),"A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders."
Megamind,(2010),"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world."
Peter Rabbit,(2018),Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.
Hotel Transylvania 3: Summer Vacation,(2018),"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family."
How to Train Your Dragon: The Hidden World,(2019),"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
Kung Fu Panda 3,(2016),"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home."
Home,(2015),"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference."
Toy Story 2,(1999),"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
Finding Dory,(2016),"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
Rango,(2011),"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
The Lego Movie,(2014),"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
Pinocchio,(2021),A darker version of the classic children's fairy tale of a wooden puppet that transforms into a real living boy.
Kung Fu Panda 2,(2011),"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
The Secret Life of Pets 2,(2019),"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day."
The Angry Birds Movie 2,(2019),The flightless birds and scheming green pigs take their feud to the next level.
Words Bubble Up Like Soda Pop,(2020),"A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a shy girl who wears a mask and only does online videos."
Bee Movie,(2007),"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them."
Paddington 2,(2017),"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
Anastasia,(1997),"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
Neon Genesis Evangelion: The End of Evangelion,(1997),Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
The Hunchback of Notre Dame,(1996),"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
DC League of Super-Pets,(2022),Superman's dog team up with a flying cat to stop crime while Superman is on vacation.
Surf's Up,(2007),"A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick."
The Secret Life of Pets,(2016),"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
Bolt,(2008),The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.
Spies in Disguise,(2019),"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world."
The Jungle Book,(1967),Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.
Despicable Me 3,(2017),"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist."
The Adventures of Tintin,(2011),Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
Heavy Metal,(1981),"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror."
A Goofy Movie,(1995),"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy."
Sherlock Gnomes,(2018),"Garden gnomes, Gnomeo (James McAvoy) and Juliet (Emily Blunt), recruit renowned detective Sherlock Gnomes (Johnny Depp) to investigate the mysterious disappearance of other garden ornaments."
The SpongeBob Movie: Sponge on the Run,(2020),"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home."
The Iron Giant,(1999),A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
Monsters vs. Aliens,(2009),A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
Ainbo,(2021),"In the spirit of Moana and Frozen, 'Ainbo - Spirit of the Amazon' is the epic journey of a young hero and her Spirit Guides, ""Dillo"" a cute and humorous armadillo and ""Vaca"" a goofy ... "
Cloudy with a Chance of Meatballs,(2009),"A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst."
Robots,(2005),"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
Ferdinand,(2017),"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
Christopher Robin,(2018),"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life."
Minions: The Rise of Gru,(2022),The untold story of one twelve-year-old's dream to become the world's greatest supervillain.
Shrek the Third,(2007),"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
Shrek Forever After,(2010),Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.
Evangelion: 2.0 You Can (Not) Advance,(2009),"Under constant attack by Angels, NERV introduces two new pilots: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Parallel to the incursion, Gendo Ikari and ... "
Robin Hood,(1973),The story of the legendary British outlaw is portrayed with the characters as humanoid animals.
Ponyo,(2008),"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
Weathering with You,(2019),A high-school boy who has run away to Tokyo befriends a girl who appears to be able to manipulate the weather.
Over the Hedge,(2006),"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
Evangelion: 3.0 You Can (Not) Redo,(2012),"14 years have passed since the near third impact. Most of the world has changed except Shinji Ikari who awakens, unaged in a new and strange environment. Misato has formed a group that has ... "
The Good Dinosaur,(2015),"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
"Josee, the Tiger and the Fish",(2020),Tsuneo is a university student and Josee is a young girl who has rarely gone out of the house by herself due to her being unable to walk. The two meet when Tsuneo finds Josee's grandmother taking her out for a evening walk.
The Land Before Time,(1988),An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.
One Hundred and One Dalmatians,(1961),"When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement."
Pocahontas,(1995),An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
Turning Red,(2022),A 13-year-old girl turns into a giant red panda whenever she gets too excited.
The Lorax,(2012),"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
Klaus,(2019),"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Kiki's Delivery Service,(1989),"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
Snow White and the Seven Dwarfs,(1937),"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
How to Train Your Dragon 2,(2014),"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
Super Mario Bros: The Movie,(2022),"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess. Feature film adaptation of the popular video game."
Corpse Bride,(2005),"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
Meet the Robinsons,(2007),"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate."
Ghost in the Shell,(1995),A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
Garfield,(2004),"Jon Arbuckle buys a second pet, a dog named Odie. However, Odie is then abducted and it is up to Jon's cat, Garfield, to find and rescue the canine."
Spirit: Stallion of the Cimarron,(2002),"A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd."
The AristoCats,(1970),"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country."
Wolfwalkers,(2020),A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
Over the Moon,(2020),"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess."
Pinocchio,(2022),A live-action adaptation of Disney's 'Pinocchio'.
Chicken Run,(2000),"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
Epic,(2013),A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.
Storks,(2016),"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby."
Ice Age: Collision Course,(2016),"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend."
The Emoji Movie,(2017),"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji."
Trouble,(2019),"A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner's greedy children."
Gnomeo & Juliet,(2011),"Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?"
The Road to El Dorado,(2000),"Two swindlers get their hands on a map to the fabled city of gold, El Dorado."
Lady and the Tramp,(2019),The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
The Book of Life,(2014),"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears."
Rise of the Guardians,(2012),"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
Cool World,(1992),"When Jack Deebs was behind bars he found escape by creating Cool World, a cartoon series featuring a vixen named Holli Would. The flesh proves weaker than ink, however, as Holli takes human form in Las Vegas."
Monster House,(2006),"Three teens discover that their neighbor's house is really a living, breathing, scary monster."
Paprika,(2006),"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
"South Park: Bigger, Longer & Uncut",(1999),"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
The Wind Rises,(2013),"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
Happy Feet,(2006),"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
Nausicaä of the Valley of the Wind,(1984),Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
I Want to Eat Your Pancreas,(2018),"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments."
Horton Hears a Who!,(2008),Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.
Dinosaur,(2000),An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.
The SpongeBob SquarePants Movie,(2004),SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.
Madagascar 3: Europe's Most Wanted,(2012),"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer."
